label,text
Garbage,hello sir i registered one complaint token no but without any work complaint closed how its what the use i of complaint and why we use this i didnt
Water Supply,able to see layer of oil being in water same issue is being by many other please check on
Electrical,street are not working from last eight days
Health,safety tank
Drainage,toilet cha slab
Electrical,street light not working please look into it
Drainage,manhole m
Electrical,two street are totally off near by last days
Electrical,balance work of making functional street light from colonnade to gate no of is not carried for of street light
Health,even after still the burning of is being done by near and around regency and also around park
Garden,complaint is not complaint is given specially to garden in are lawn tree plantation for the front margin which are mandatory open for public walk through pedestrian movement but are actually by and in front margin bank near hotel hotel hotel scribble in elite suit building fresh mart hotel hotel marie safe life shop also hotel and it all the front margin open space by big plantation and by wall which road between and and no place for the permission been written to demolish the and front margin encroachment but the pot and plant encroachment is to be removed by garden also in case of big space of plantation in front margin of marvel edge it to public by the in front and side margin and garden plantation to be for in this open space keeping big and
Building Permission,hotel elite suit the front and side margin by garden hotel with to in front margin mandatory open space for public of these are on the road causing daily traffic on this super market to there are encroachment by other converted from row house to by not the front margin keeping advertising chain in garden society olive saloon learning curve school new hotel building big metal of open land the front margin encroachment to be free by action please along supermarket to
Traffic,the lane towards joshi hospital really congested and there is parking in the joshi despite that people tend to park in the lane entering joshi also to park also park in the lane instead of pay and additionally also in the lane opposite everyday there are severely the also get stuck because of regular traffic this used to be a no parking zone in the past but now it been
Drainage,replace broken drainage line cover
Garbage,remove garbage from near jayant apt
Garbage,lot of health garbage unto the building compound by stall
Building Permission,are all roof top in city lawful and
Road,footpath so tempo can be location make this footpath available for
Garden,dear sir a tree inside society back garden is grown so big that the building wall and may collapse at any point of the tree needs yo be cut or this tree is causing to all near by also the tree been infected by many which is causing problem to all tree location back garden emerald road also please find attached photo for the same showing how the tree and wall both can collapse request you to please look into this at your your help in this matter will be highly thanks and no emerald road
Garbage,number of have been made that pedestrian crossing below shankar nagari society not being at all whereas other side sweeper at least times in a when complaint is made it is on that day and complaint is
Building Permission,my client mitra through mane property situated notice of the act notice we have
Traffic,concurrence in rail project alignment and gad with pier from harris bridge to range of corridor i
Garbage,garbage injurious to health building compound request to take strong useful action
Road,padle ahet
Road,riksha stand padle ahet te
Road,please provide parking line for the given at the last meeting you agreed for it if the electric transform is the transform is shifting provide some place for parking
Road,crosscut
Building Permission,survey construction is going on behind police near take action
Road,dear sir circle near swami math on road is in as the and are absent and as the itself is fill of unique to walk on the busy this the live in so please te before any mishap
Encroachment,at this place to are on road from morning am that making traffic jam and there are too many making and bad loudly of
Road,speed shell outlet
Garden,can i get the latest tree
Garbage,have this several no one is taking following up since look at road heading collage
Road,the footpath from temple to statue is in a bad please repair
Road,hello there is a road hole near signal making it really please
Drainage,public blockage
Electrical,our street light is not working since last
Road,despite repeated area not for last two put a fencing and garbage
Garbage,tree cutting are not
Property Tax,complaint about employee mr and for non for address on property current address is and pin code which need to
Road,are on road from ling near our program is on january please help us on thanks
Drainage,drainage water near road may cause to resident
Encroachment,one car is abandoned on college road for last days causing serious issue to traffic and prone for the
Road,chamber tute hue
Drainage,problem last
Garbage,tree garbage collected from
Garbage,garbage dump
Health,no facility of
Garden,on road tree was cut on saturday request to collect one tempo of tree fall inside the compound during tree cutting as not able to go inside compound to collect tree on ground please collect it by hand with
Electrical,drainage work in progress entire road dug no electricity at night in street
Electrical,making street light functional
Health,garbage not collected since days
Road,footpath for area office please repair
Garbage,removal of debris
Property Tax,i have already my property tax for year of on may bill no but now i am again getting new faulty bill for my property with demanding additional i dont know even after paying tax in advance why my tax is please let me know my property are as
Garbage,din se aa bahut jama
Garbage,fast
Garbage,se
Building Permission,encroachment complaint for in mala have an illegal
Building Permission,illegal construction taraf se illegal construction red mark but koi action
Garbage,garden waste being
Traffic,dear sir attached picture is the front view of road in which no parking traffic signboard on the right side of entrance gate is very clearly attached picture p is the front view of road in which no parking traffic signboard on the right side of entrance gate is not visible because some anti social seem to have stolen or removed the no parking traffic signboard yesterday is to immediately put up a new no parking signboard at the same place so that it cant be easily removed from the vertical thanks and
Building Permission,building illegal gymkhana
Health,i want to stop the garbage burning in my area as it is affecting the air why doesnt take to stop this hazardous waste
Garden,on road tree was cut on at industrial bag area request to collect of cut tree from inside compound area by hand as cant go inside for collection of
Garbage,debris of vishal mitra n silt clean
Water Supply,month se evening time pani aa
Water Supply,din se pine ka pani bahut aa
Garden,please cutting the branch of tree
Health,public cleaning
Road,fix d speed at hanuman corner near vishal mitra are very traffic much fatal occur do needful
Stray Dogs,there are unsterilized stray dogs in our society county and crossover their population is increasing rapidly and this needs to be we have several times about this but the issue not been the concerned are to visit the society and inspect the please contact us so that we can show the where dogs its not on the main dogs need to be at the to prevent further rise in amongst
Health,garbage collected near society is always burning and other around the area are also regularly burning garbage organic and plastic are full of smoke smog and difficulty is breathing is faced by and cant go outside due to the smoke and bad air the burning of garbage to be
Garden,cutting of branch
Road,near public mart is not instant action
Building Permission,illegal construction
Property Tax,property tax already for year in april now we are getting for balance due my property id is
Road,there is entire stretch of road which is build from loose there is no tar on it is filled with loose
Garbage,too much garbage lying on the other side of the they clean it maybe once a month but no permanent so permanent solution is to be done to keep this area clean
Stray Dogs,lot of stray dogs on the road in front of apartment
Health,our society is suffering from giant issue want you to place spray medicine all over the society because this is leading to serious health
Garden,hi the last time i raised the complaint the garden was not me that he will send someone to clean at least times in a week but no one turned the garden is in very sorry state and needs a good clean up from all the please send someone urgently to do necessary cleanup every
Water Supply,drainage line pipe line
Electrical,street light not functional
Road,no water supply in public
Electrical,please repair street light
Electrical,hi near main gate street light is not you please look into this
Property Tax,sir i have flat in sept and you have for the tax for which is not related to i have through mail to specify the period against your notice i am agree to pay for period after sept so please guide me what to do for previous
Garbage,a swatch person is given per house but he comes to collect as per his wish and garbage is overflowing over the of all the
Electrical,none of street light not working please as soon as possible
Garbage,some people are garbage on road near empty
Electrical,street light is half that be with led light
Encroachment,already people have selling on newly built footpath outside
Building Permission,my client property situated sheet chowk issuing letter we have
Building Permission,the near chowk in is two the first floor is out by a mezzanine this is with insufficient head kitchen is on the ground there is only one very narrow ladder to approach the mezzanine this place is always crowded full of in case of any serious fatal tragedy cannot be strictly check the violation of building and fire safety that an accident like kamala is
Building Permission,hello i am with family for last as per address in the same building hotel built construction specially at kitchen and building surrounding if we face the situation like the incident like we dont have any to get down and save our life specially for and old aged i request you to look into this matter and ask hotel owner to remove such illegal corporation demolish such construction in past but again hotel owner
Road,please repair road road at shastri
Drainage,i am in market there is a rain water drainage which is covered with open and we have that the human waste drain is through in it due to this always a foul smell very bad stand that our health too please take note of this and request you to solve it as soon as possible
Road,please repair north main road park as well as pothole around
Road,condition is very worst
Health,garbage is being burnt regularly at lane number please take action for
Water Supply,water supply pressure is very low
Garden,kinetic garden in model colony opposite polytechnic is not safe for kids they have put tile horizontally near swing area which is harmful to no lose sand near kids play area which protect kids from major are very low four led with are fitted but not working since long this park entry but still not entry fee should be free for minor kids or below age of hope to get resolution
Road,breaker hight maximum then car body touch in this problem is month
Traffic,hello we are facing worst traffic jam at railway crossing at please let me know when or underpass bridge will be on this railway there is risk of on this road due the worst please look into this issue on priority and start the or underpass bridge work as early as
Road,pothole
Health,we are suffering nowadays from and please do the needful
Road,had done some waterline work long time back but the of that portion of road is causing now for while walking and for vehicle please look into the subject and do some tar patch work to avoid any mishap or
Road,this deadly projection is there since a take care of this before someone is or their
Encroachment,plot chowk chowk te market yard road che
Health,have problem of line due to which dirty boar well water is coming with dirty please send someone to clear internal line or of
Drainage,the drainage line
Road,pavement near hotel dhole road
Electrical,please replace the old led
Road,pavement in front of out gate of ruby hall clinic
Water Supply,positive and quick action from water department on water supply issue in area due to road construction
Garbage,road on left hand side which goes up on once you reach on top and go on track for m approximately you will find is near near hill view
Garbage,who would use these public newly foul smell no maintenance poor and then we talk about reality from public toilet in
Water Supply,pipeline is on the footpath daily
Garbage,the drain was by some people from i think a few days ago but they left the dirt on the side and did not clear
Encroachment,please make this footpath available for mahatma chowk to encroachment from transport vehicle
Property Tax,citizen ne tax bill pay account se deduct hue but update pending show property id reference pay
Road,the road near goodwill in please see the condition in which we have been trying to get help it no one
Encroachment,this part of the footpath is by who stay the tempo is at this corner for past few it problem for the and the turning towards hotel it become a blind corner which may cause please clean this part of the road and footpath for safe
Encroachment,entire footpath being by reddy hotel shop near ganga society near eon it park its tough to walk on the road looking at water tanker hit and run case near ganga please clear the
Road,road padle
Garbage,road not swept for month
Road,this signboard is replace this location on street opposite d mart mall road
Health,near society there are around which are they are running on the road due to which they come under bike and few people have met fallen from these are fighting amongst themselves and create noise which is please take them away from here at the looking forward for your help
Water Supply,pani gaon near bank of
Electrical,street not working
Garbage,garbage
Garbage,garbage kept
Building Permission,a mobile tower is being on a reserved ideally this land should be acquired by the corporation and to be used for some constructive work which should be beneficial to
Road,unauthorized two speed near mala to tranquil side of royal infield show room
Garbage,mr secretary refuse to take clean take action
Property Tax,discount for solar water heater and rain water harvest is not given in property
Health,there are a lot of in and around our it is that and needs to be done to prevent further
Property Tax,i have already the property tax for the year but it still me as please
Road,road for on university road after crossing of signal as after dissolving uneven road meter strip which is risky for two
Stray Dogs,too many in our area nuisance by persistent loud barking please inform concern department to resolve
Encroachment,a banana seller with his cart encroachment pathway for people and permanently his cart on road also he create nuisance by gathering people around his cart which become trouble for everyone and mainly for woman in our we have also registered official police compliant against him and police department also advised us to bring this issue in notice of your department kindly help us with appropriate
Electrical,three street light absent at e square and west side on university road
Traffic,traffic signal at hospital at junction of j m road and university road fitted traffic signal at kala while turning to road not working
Road,lane hone se jo square speed breaker
Garbage,hotel all the garbage in the drainage in night after this our drainage every does this to avoid fine of
Garbage,from highway people are throwing garbage
Road,footpath yava
Building Permission,there is one shop namely on the of land near chowk the said person is living there on tenant and portion without permission of now he is going to reconstruct the of the said shop for which also he is to take permission of but he not sought it from and misguided the i hope works practical and on site and therefore will not be take a strict action before he construct without
Electrical,stree light not working
Stray Dogs,in park in this area one black colour dog is run on every to catch them and leave any other
Road,going towards society it is so terrible that car get damage at that point
Electrical,street not working
Water Supply,there been road construction work in progress on satara road in during this have disturbed the water pipeline causing breakage of the water pipeline to area especially this immense problem to all society as the water supply gone we are not getting enough water to the entire this continued for more than and there is absolutely no progress in fixing the issue of water road construction work is almost stopped for no there is no progress at we are suffering a lot due to water supply can you please look into the matter immediately and fix the water supply issue in next couple of
Encroachment,car on footpath since last week wireless colony behind reliance mall
Stray Dogs,in behind backside of phase there are so many stray dogs around our the continuously keep barking and chase all day and take some
Road,long overdue for hassle for daily commute and increasing the of
Road,please construct speed on the road near every entrance of the society society pleasant park society society amar tower
Water Supply,wastage of water
Garbage,garbage burning everyday in inhabited land opposite to reliance fresh on sus lot of in evening
Encroachment,there a tea and stall on footpath near telephone walk from
Water Supply,last din se line me pani aa
Building Permission,lot of construction activity happening in the area since of the village in the take necessary
Health,burning of garbage is leading to air take necessary action to may be public needs to be for the
Garbage,the litter is lying for over tree cutting was done
Property Tax,hi my address is as per the requirement we have rain and solar panel in our please give applicable discount so that i can pay bill
Building Permission,on top floor of united western no near shed on
Garbage,very dirty on the
Traffic,make somewhere temporary by breaking route or any alternate arrangement near that bridge on now there is no way to come people from to police station as work is going for underground road from new air port also closed from last
Garbage,in our society we wishing to start provide wet n dry garbage in the same we need dust from as per my such
Encroachment,you are the without taking an this is an excellent example of the are right there are you are the that action is excellent you should be by prime minister for doing the great service to our
Stray Dogs,hi are few stray dogs in have the sector and possess risk to kindly take care
Stray Dogs,too many stray dogs not to go for morning walk
Health,drainage is request to
Stray Dogs,there are a lot of stray dogs causing an menace to and small there are almost dogs near perfect residential building
Electrical,one total line
Garbage,ask mr to remove other wise take last days they are not lifting
Garbage,huge on
Property Tax,wrong billing
Garbage,cleaning of sand stone powder tree leaves near to plot
Drainage,drainage line
Drainage,drainage line
Stray Dogs,there are more than stray dogs in the main lane and by a constant for i have seen kids and being its a recipe for disaster in the
Health,not
Traffic,the railway crossing is too in like all in city with have traffic have the crossing with double at railway have space for double still single request the civic body to widen the crossing with double barrier system to give breather on crunching traffic
Building Permission,sir this is reference to my letter to your office i have not any regarding my car parking issue would request you to update me on the sanjay kulkarni
Road,parking white patta previous date and complaint no date by are not to reject the above as matter is again without will inform mayor as this area is under
Road,this complaint pertaining to my previous token this complaint is closed without the the closure feedback is given that the land acquisition is not done and thats why road is not are not if the land acquisition is not done then why the is given to
Garbage,garbage on open ground near
Road,hello the road from park to police is in horrible there are many water request you to take immediate this area under
Garbage,garbage not collected comes times in a week
Garbage,please collect from our and if possible please start regularly and make colony garbage free
Garden,hi the last time i raised the complaint the garden was not me that he will send someone to clean at least times in a week but no one turned the garden is in very sorry state and needs a good clean up from all the please send someone urgently to do necessary cleanup every
Stray Dogs,many dogs making dangerous to walk
Road,road condition is very bad from highway to aviation college
Electrical,heavy traffic due to electrical pole obstruction on road
Road,please give us a new
Water Supply,we are getting smelly and dirty water for the last one week
Water Supply,everyday water is being wasted
Property Tax,request to wave off the
Road,zebra crossing line paint was fent and week
Electrical,off day
Health,please cleaning toilet block at room water supply tank
Property Tax,appeal to wave off the late fine
Garbage,highway highway
Building Permission,dear sir it is that carried out major in his block no and on and the construction waste material his helper dump near the main gate of the while carrying out this work no permission of concern been at the same time not to the chairman of the society in simultaneously such type of the between two and wall of the kitchen to dry could cause damage to the also repair cost in future to the i request you to please take a serious note of this and initiate appropriate
Garbage,somebody is dumping rabbit n garbage at night on the road
Electrical,start street light during
Electrical,new street light at entrance of no the lane is completely in dark even when all the street are a requirement of new is to be besides the of
Electrical,street are not working in this lane at urgent action
Road,request you to please repair
Building Permission,my client kirve property situated chowk notice of the act notice we have
Electrical,please make all the street functional from road starting from school entrance to pir samadhi near society there are lot of happening in night in absence of street light on this please take this request on urgent
Garden,these tree to be to let clear light from street come on road
Building Permission,to stop bakery production beside my baking smell is causing us health
Building Permission,my client property situated arcade ferguson college road notice of the act notice we have
Health,percolation of corporation drainage water in personal
Garbage,open plot opposite not and very dirty
Road,che tari
Property Tax,property tax
Road,te padle ahet
Road,padle ahet
Stray Dogs,lot of noise of stray dogs every night especially after till entire locality of look into the thanks and
Road,padle ahet
Garbage,garbage
Garbage,daily garbage is seen on road side of colony
Road,the road on the back side of petrol pump and i half built and rest half of the road is still in old bad please look
Stray Dogs,hello please catch the dog near my many dogs roaming near garbage and they are harmful to and senior thanks rajendra
Garbage,dear thank you for all your work till now and your service to the nation at on the road between society and society for various there is lot of dust our have informed that to clear they need other people and not their job they also informed that they will tell the local who will get it the problem is till it get the push the the dust with broom from one corner to other and other corner to this every day as cleaning so the dust remains there only can you send one team and get all the dust completely once for all i will personally guide your team and show all the if you can help us of the gathering dust are as
Electrical,one pool light not working properly it
Garbage,garbage dump at road side
Property Tax,i have property tax through but receipt not
Road,footpath on road from aura society till main kindly construct footpath from aura society till sai chowk
Road,road wire
Road,road surface is uneven and pot hole nearby surface many and between sai chowk to aura as on this road become more request for repair of this
Road,see the condition of the broken manhole in in front of
Garbage,whole waste is by the waste pick up staff and consolidated at this due to this this spot become waste dumping place for all the in this there is a kids school dogs make a mess if this waste our house because of this the garbage pick up truck number also comes at this place for waste separation the are very rash in talking and do not care if there are spoiling the they just do their duty and the collect every flat and take away the but after this all the garbage is collected and kept near our house in this this is not the given place for waste collection and separation as we are but the choose this place for their i think should strictly ask to give them garbage directly to the garbage collection truck which comes at this will solve most of the
Drainage,dear sir this is to bring to your kind attention that the drainage next to my house is broken and the sewage is over flowing all kindly consider this urgent and see that this leakage is at the attached are some the address of my residence is park road park next to director for educational indian institute of education naik path cell
Stray Dogs,my was by to dogs on road near police
Garbage,open burning of the bungalow society in regularly the garbage in the open by the can you fine the
Building Permission,dear sir my store name is mobile planet it is mobile address shop no market chowk out side of my shop some unknown fruit juice center center and dosa center they had and on this center some under age labour they are working because of this all i am loosing my kindly remove this stall front of my shop its a
Property Tax,please send me new corrected about property tax
Garbage,a restaurant is on the ground floor of our society adjacent to the arch of entrance opposite to rahul this restaurant the garbage and waste causing the to people entering the building and also causing the saturation of water habitation leading to health the restaurant manager that material does not belong to we request you to clear the
Property Tax,need to correct the residential as per new reduced area after area correction to were please correct the
Garden,of from open plot penetrating in house
Electrical,street light band
Electrical,street light band
Garbage,lot of garbage in survey b housing also the from nearby by hostel dump their garbage in open some from shree park also dump garbage in open kindly arrange to clean the
Electrical,street light band
Road,chaya building please repair the there are two big cannot add by this
Electrical,street light band
Encroachment,dear sir madam this tempo is almost permanently at the corner of junction of road and road making it more already it is a blind corner and at times there have been freak taken place where the taking turn towards the i sincerely request you to ensure removal of this stagnant vehicle as well as laying of a speed breaker at the junction so that the approaching the junction will have to slow down hopeful of immediate and considerate d b
Road,speed breaker near as daily there are many accidental
Building Permission,illegal construction going on the road even under ground construction is going on the size of road is reduced to bottle neck the road causing traffic jam daily please look immediately
Road,hospital
Garbage,after tree cutting the litter is on the road for almost now people are throwing garbage there and the area is also not in general
Stray Dogs,these are dogs which stay in our lane and feed by other home but now these dogs are doing mischievous behavior and troubling us doing on and tearing car and bike un we facing issue with these please catch
Water Supply,water pipe line leakage on main road
Health,road is cleaning with regular please clean the road on regular
Road,newly is not as per to life as bump on road
Health,jagannath housing society facing problem with fully blocked and overflow of septic tank drainage which leads to heavy bad smell as well you are to kindly resolve as soon as
Garbage,dust need to be kept at every bus stop and bus otherwise throw litter on the since this is applicable for the entire city i have not selected ward office electoral
Stray Dogs,there are many stray dogs roaming on the small road patch society with many times those dogs chase the this might be hazardous if the driver due to unexpected chasing by these dogs and might cause accident people the at times the dogs enter the society in the compound request you to look into this and take necessary action as
Health,regarding building leakage of and through floor in my flat which is causing for health due to growth of fungus at that area on floor and also its causing weakening of building frame complaint been made regarding it in regional office because of negligence from society since still no action is being taken for it from regional office
Road,road par bahut hue bahut condensation me
Property Tax,i have made payment for property tax via connect its not reflecting on
Electrical,corporation
Health,and stagnant water across periphery of my society which is a home for dengue request regular fumigation in my building to avoid any health
Stray Dogs,there are many stray dogs in my street dogs which are causing threat to our life when we walk on request you to please take action on stray dogs in area from chowk to my society in
Garbage,corporation
Drainage,drainage line
Building Permission,dear sir i in c this is a single building builder under the please find attached the occupancy certificate received from municipal corporation attached and building plan that needs to be corrected flat is in this but there is no such flat builder in this building c that is open terrace on flat is there on per this parking is but builder on floor number and request you to please issue me the revised commencement certificate and revised building plan with
Garbage,lot of garbage and debris in the open plot plot of aura society given by bhandari this is causing health and hygiene issue of request you to kindly clean this
Garden,tree on road is dangerously
Garden,garden to be in the plot of aura society given by bhandari at the this is the only open area in this garden will be useful for kids and family for their health and well
Encroachment,illegal and vegetable on footpath beside society footpath
Road,incomplete road in the approach lane from main there have been multiple logged for past one year but the road work not been
Encroachment,illegal tea stall near the site of this stall is there from morning to or remove it from this leads to traffic jam
Road,the level of new footpath being built in front of dealing hotel road is very high and if built no will be able to get into parking space of the building considering the high from parking to the road and the parking of the building will become the footpath level to be brought down to present level at the entrance area of the the site engineer expressed unability to change the level and directed us to talk to mr and not given his the of ramp can not be as the height to the building will be too small for a car or tempo or motorcycle with rider to get in the building even if ramp is in line with the level of i am interested in this because i own a office in this
Building Permission,there are one tea stall shop get encroachment all camera fully hide all on its very hard to walk on
Drainage,this been a very regular problem where the drainage manhole up and all the drainage water down the slope on the this to the residence of society and apartment as the dirty water from the entrance please find a permanent solution to this
Encroachment,are footpath just outside the it security issue for our mess around society campus near to society compound noise pollution due to people coming to them garbage creation on the same people sitting on and coming in the same area security issue for our family as request you to please look into it and move to appropriate should be available for to use and not for
Property Tax,it company tax rate circular
Building Permission,we are resident of since we are regularly payer of all corporation since we have old completion certificate june we request you to provide revised completion certificate of and the various documentary are attached
Garbage,people throw garbage and dung on blockage for and health in the
Property Tax,hilltop la shed tax
Property Tax,we got the of above property since but no property tax is since then for all on no response from builder or office in
Garden,there is a dead tree in our lane near please see the attached photo it is the tree might fall on its currently it is a risk to the in the you to cut the
Water Supply,low water pressure in our apartment past few
Drainage,drainage line is with plant grown in sewage line of it in of toilet waste water in its a serious health
Water Supply,low water pressure in the area every alternate day
Encroachment,the egg stall at and is open till am and nuisance in the area please take strict action as soon as
Encroachment,the hawker egg stall is open late till am and a lot of in the
Health,behind police
Property Tax,my property still showing for please see the attach statement showing all are already on but today i got message on mobile showing
Drainage,urgent need to change chamber
Garbage,the open plot is still not this complaint is open since august and all i hear from is false please let me know if any interest to solve
Road,road is in very bad small repair was done few days ago but didnt work due to water pipe leakage under road
Electrical,no
Road,need road divider in road from lexicon school to
Road,road from road to park countless pot new road no repair
Garbage,a drainage sewerage passing through our colony is stinking very request that the builder should be notice to cover it with man with
Garbage,the pit is very close to my building is it become a breeding place of house and of deadly it been shown to request please issue notice to the builder to shift the pit away from residential
Drainage,drainage overflowing next to sky gym
Road,there is no zebra at signal at above mention are stopping anywhere at cant cross the road zebra cross at this signal around all spot of early as
Electrical,do the needful
Encroachment,people play loud speaker and crackers at night in this area and no one really care of it please regulate some strict rule for this in this area
Health,there are lot of inside our society please send someone for
Stray Dogs,there are lot if stray dogs inside our society please ask someone to take them thanks
Road,there is really a very bad road condition from to park its really danger to commute i will also send an to transport and road minister shortly if it will not be taken care
Water Supply,since last days we have very low water we are facing severe problem of drinking water and other necessary since last days the water pressure is very low so we are unable to get drinking we are been getting drinking water in from our also due to low water pressure the water tank is not getting filled and we are facing problem for water for daily routine
Property Tax,tax for year was on that time there was some amount which was shown as outstanding against the those were by and it was to us by issuing on zero on i have received letter demanding of amount on enquiry i was informed that same amount is for interest and penalty double property tax amount and the same is as per the of municipal corporation act under section though i do not agree with the explanation give to me i have the tax amount of on by way of bank the amount was on good faith and it to be against next tax i hereby request you to consider my above and quash the as a penalty and interest please also issue no certificate
Health,the road been swept and there high of mosquito
Drainage,whom did you ask and close grievance token you have neither our address not have done anything to solve this drainage so with what authority have you decided to close this i am sending to all your top the mayor the commissioner and all connected on high if you do not come to solve this issue immediately please you are making mockery of a senior tax paying citizen by not to very serious health which can cause disaster for all those who are in our the same matter that i am writing here is being copied and pasted on of all important of right so please see that someone does show interest and us come out of this unhygienic
Traffic,need signal near petrol we loose every day and it is more dangerous as heavy would be always on
Electrical,i have been for last now i am told it will be done in but then there is no work being done i request the to fix the issue at the
Electrical,street near school not for last give token no and take this is third time gone
Water Supply,please provide water to our society
Road,need to reconstruct road from junction toward village
Encroachment,some indisciplined people exploit the reality of shortage of with encroachment of and traffic police and make money by daily on municipal road road in present case misuse it for that also right by flouting yellow box junction traffic discipline where no vehicle is supposed to be stopped even for a short attached sample to clearly show as to how road is upon and for right in the yellow box if felt necessary office should lodge a complaint with the local police station for immediately stopping the encroachment on road and its misuse for as shown in attached with help from local police other associated of noise environmental pollution cleanliness of road will also be looking forward to immediate action from office to put an end to the nuisance of encroachment of thanks and
Road,road condition is very lot of traffic during the peak
Garden,behind bakery
Encroachment,footwear repair shop on do not allow parking of car in front of in parking
Electrical,complaint number is unresolved as of now due to lack of electrical stock non availability of the staff some of the street are not working on sus road from alacrity building to green zone
Road,please repair the on road
Encroachment,due to on road road become congested and also do not get parking though its empty its a big nuisance and request to put a stop on action been taken on off but they still come back again and block the request to take a strict a if you could arrange an open place for them so that it does not hamper their business which is bread butter for them nuisance can be stopped as well on the main
Health,no electricity in public
Drainage,due to lack of drainage residential complex is polluting the rain canal in this is a huge health there is odor and foul smell from
Road,there is rough road of near phase i raised complain in october and i reply that road construction will start in i dont see any work please let me know when will construct that lots of on that road and fall with many i myself fallen times on request to please construct that road as soon as
Health,burning of garbage by there are in who burn help the air quality is getting degraded by
Drainage,you with warm
Electrical,street in the lane are not turned on or do not work most of the we need permanent solution to the
Garden,two in the society are growing out of control and causing damages to the society
Property Tax,dear sir in the property tax receipt area showing is however actual area as per index is please do the feel free to contact me in case of any
Road,road par bahut
Garbage,street garbage is being collected and left outside the building by the the garbage is also being lit by them from time to time which is causing pollution and inconvenience to the
Garbage,kindly remove dead cat from above address
Garden,coconut tree is in middle of road and fall on road or sometime citizen going from very dangerous
Stray Dogs,daily street dogs problem for child and senior citizen
Traffic,right side ka jo wo ho
Road,road fold ho
Building Permission,is doing in my plot at please give work stop their certificate number is date
Road,road turning point fold ho
Stray Dogs,a group of stray dogs are havoc in they not only shout quarrel among themselves but even attack on
Electrical,street light are not working
Encroachment,sweeping not done at
Water Supply,already complaint is send to ward office on last two pipeline leakage in in front of plot
Electrical,street light band
Health,seriously with at lane joshi path that too in we suspect its because of the new construction of hill
Garbage,two stray dogs are dead near remove the
